x:  computed_derivativen = 1000runtime: 8.3e-05
0   0
0.000999001   0.00894125
0.001998   0.0177837
0.002997   0.0265283
0.003996   0.0351761
0.004995   0.0437279
0.00599401   0.0521848
0.00699301   0.0605478
0.00799201   0.0688177
0.00899101   0.0769954
0.00999001   0.0850819
0.010989   0.0930781
0.011988   0.100985
0.012987   0.108803
0.013986   0.116534
0.014985   0.124178
0.015984   0.131736
0.016983   0.139208
0.017982   0.146597
0.018981   0.153902
0.01998   0.161125
0.020979   0.168266
0.021978   0.175326
0.022977   0.182306
0.023976   0.189207
0.024975   0.196029
0.025974   0.202774
0.026973   0.209441
0.027972   0.216032
0.028971   0.222548
0.02997   0.228989
0.030969   0.235356
0.031968   0.24165
0.032967   0.247872
0.033966   0.254021
0.034965   0.2601
0.035964   0.266108
0.036963   0.272047
0.037962   0.277916
0.038961   0.283718
0.03996   0.289451
0.040959   0.295118
0.041958   0.300719
0.042957   0.306254
0.043956   0.311724
0.044955   0.317129
0.045954   0.322472
0.046953   0.327751
0.047952   0.332967
0.048951   0.338122
0.04995   0.343216
0.0509491   0.348249
0.0519481   0.353222
0.0529471   0.358136
0.0539461   0.362991
0.0549451   0.367787
0.0559441   0.372527
0.0569431   0.377209
0.0579421   0.381835
0.0589411   0.386404
0.0599401   0.390919
0.0609391   0.395378
0.0619381   0.399784
0.0629371   0.404135
0.0639361   0.408434
0.0649351   0.41268
0.0659341   0.416873
0.0669331   0.421015
0.0679321   0.425106
0.0689311   0.429147
0.0699301   0.433137
0.0709291   0.437077
0.0719281   0.440969
0.0729271   0.444812
0.0739261   0.448607
0.0749251   0.452354
0.0759241   0.456054
0.0769231   0.459707
0.0779221   0.463314
0.0789211   0.466876
0.0799201   0.470391
0.0809191   0.473862
0.0819181   0.477289
0.0829171   0.480672
0.0839161   0.484011
0.0849151   0.487307
0.0859141   0.49056
0.0869131   0.493771
0.0879121   0.49694
0.0889111   0.500068
0.0899101   0.503154
0.0909091   0.506201
0.0919081   0.509206
0.0929071   0.512172
0.0939061   0.515099
0.0949051   0.517987
0.0959041   0.520836
0.0969031   0.523646
0.0979021   0.526419
0.0989011   0.529155
0.0999001   0.531853
0.100899   0.534514
0.101898   0.537139
0.102897   0.539729
0.103896   0.542282
0.104895   0.5448
0.105894   0.547283
0.106893   0.549732
0.107892   0.552146
0.108891   0.554526
0.10989   0.556873
0.110889   0.559187
0.111888   0.561467
0.112887   0.563715
0.113886   0.565931
0.114885   0.568115
0.115884   0.570267
0.116883   0.572388
0.117882   0.574477
0.118881   0.576536
0.11988   0.578565
0.120879   0.580564
0.121878   0.582532
0.122877   0.584472
0.123876   0.586382
0.124875   0.588263
0.125874   0.590115
0.126873   0.59194
0.127872   0.593736
0.128871   0.595504
0.12987   0.597245
0.130869   0.598958
0.131868   0.600645
0.132867   0.602305
0.133866   0.603938
0.134865   0.605546
0.135864   0.607127
0.136863   0.608683
0.137862   0.610213
0.138861   0.611719
0.13986   0.613199
0.140859   0.614655
0.141858   0.616086
0.142857   0.617493
0.143856   0.618876
0.144855   0.620236
0.145854   0.621572
0.146853   0.622885
0.147852   0.624175
0.148851   0.625442
0.14985   0.626687
0.150849   0.627909
0.151848   0.629109
0.152847   0.630288
0.153846   0.631444
0.154845   0.63258
0.155844   0.633694
0.156843   0.634787
0.157842   0.635859
0.158841   0.636911
0.15984   0.637942
0.160839   0.638953
0.161838   0.639945
0.162837   0.640916
0.163836   0.641868
0.164835   0.6428
0.165834   0.643713
0.166833   0.644608
0.167832   0.645483
0.168831   0.64634
0.16983   0.647178
0.170829   0.647998
0.171828   0.6488
0.172827   0.649584
0.173826   0.650351
0.174825   0.651099
0.175824   0.651831
0.176823   0.652545
0.177822   0.653242
0.178821   0.653923
0.17982   0.654586
0.180819   0.655233
0.181818   0.655864
0.182817   0.656479
0.183816   0.657077
0.184815   0.65766
0.185814   0.658227
0.186813   0.658778
0.187812   0.659314
0.188811   0.659835
0.18981   0.66034
0.190809   0.660831
0.191808   0.661307
0.192807   0.661768
0.193806   0.662214
0.194805   0.662647
0.195804   0.663065
0.196803   0.663469
0.197802   0.663859
0.198801   0.664235
0.1998   0.664597
0.200799   0.664946
0.201798   0.665282
0.202797   0.665604
0.203796   0.665914
0.204795   0.66621
0.205794   0.666493
0.206793   0.666764
0.207792   0.667022
0.208791   0.667267
0.20979   0.6675
0.210789   0.667721
0.211788   0.66793
0.212787   0.668126
0.213786   0.668311
0.214785   0.668484
0.215784   0.668646
0.216783   0.668796
0.217782   0.668934
0.218781   0.669061
0.21978   0.669177
0.220779   0.669282
0.221778   0.669376
0.222777   0.669459
0.223776   0.669531
0.224775   0.669593
0.225774   0.669644
0.226773   0.669685
0.227772   0.669715
0.228771   0.669735
0.22977   0.669745
0.230769   0.669745
0.231768   0.669735
0.232767   0.669715
0.233766   0.669686
0.234765   0.669647
0.235764   0.669598
0.236763   0.66954
0.237762   0.669472
0.238761   0.669395
0.23976   0.669309
0.240759   0.669214
0.241758   0.66911
0.242757   0.668997
0.243756   0.668876
0.244755   0.668745
0.245754   0.668606
0.246753   0.668459
0.247752   0.668302
0.248751   0.668138
0.24975   0.667965
0.250749   0.667784
0.251748   0.667595
0.252747   0.667398
0.253746   0.667193
0.254745   0.66698
0.255744   0.666759
0.256743   0.666531
0.257742   0.666294
0.258741   0.666051
0.25974   0.665799
0.260739   0.665541
0.261738   0.665274
0.262737   0.665001
0.263736   0.66472
0.264735   0.664433
0.265734   0.664138
0.266733   0.663836
0.267732   0.663527
0.268731   0.663212
0.26973   0.662889
0.270729   0.66256
0.271728   0.662225
0.272727   0.661882
0.273726   0.661533
0.274725   0.661178
0.275724   0.660816
0.276723   0.660448
0.277722   0.660074
0.278721   0.659693
0.27972   0.659307
0.280719   0.658914
0.281718   0.658515
0.282717   0.65811
0.283716   0.657699
0.284715   0.657283
0.285714   0.656861
0.286713   0.656433
0.287712   0.655999
0.288711   0.655559
0.28971   0.655115
0.290709   0.654664
0.291708   0.654208
0.292707   0.653747
0.293706   0.65328
0.294705   0.652808
0.295704   0.652331
0.296703   0.651849
0.297702   0.651362
0.298701   0.650869
0.2997   0.650371
0.300699   0.649869
0.301698   0.649361
0.302697   0.648849
0.303696   0.648332
0.304695   0.64781
0.305694   0.647283
0.306693   0.646751
0.307692   0.646215
0.308691   0.645675
0.30969   0.645129
0.310689   0.64458
0.311688   0.644025
0.312687   0.643467
0.313686   0.642904
0.314685   0.642336
